Entity,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Lebanon,332000,332000,332000,332000,332000,332000,332000,332000,332000,332000,332114,332344,332689,333152,333732,334430,335248,336186,337245,338427,339731,341158,342711,344389,346194,348126,350186,352375,354695,357145,359728,362330,364950,367589,370247,372925,375622,378338,381074,383830,386606,389402,392218,395054,397911,400788,403687,406606,409547,412508,415033,417573,420127,422697,425282,427883,430498,433129,435776,438438,441116,443810,446520,449246,451988,454747,457522,460313,463121,465945,468786,471644,474436,477328,480236,483162,486029,488989,491966,494961,497905,500934,503982,506986,510069,513170,516236,519373,522529,525703,528895,532107,535337,538586,541854,545141,548447,551773,555118,558482,561866,565221,568645,572088,575552,579035,582468,585992,589537,593102,596667,600273,606838,616435,629143,642111,655346,669917,684539,699481,714749,730350,746291,762581,779226,796235,813614,831374,849520,868063,887011,906372,926156,946371,967028,988136,1009704,1031743,1054264,1077276,1100790,1124817,1149369,1174457,1200092,1226287,1253054,1280404,1308352,1335000,1358000,1393000,1435000,1482000,1532000,1584000,1637000,1691000,1747000,1805000,1865000,1925000,1985000,2041000,2092000,2137000,2175000,2211000,2250000,2297000,2354000,2418000,2482000,2537000,2576000,2596000,2602000,2597000,2591000,2589000,2594000,2606000,2622000,2638000,2652000,2661000,2668000,2685000,2726000,2803000,2922000,3076000,3246000,3403000,3528000,3611000,3658000,3694000,3748000,3843000,3991000,4182000,4388000,4569000,4699000,4760000,4767000,4765000,4813000,4953000,5202000,5538000,5913000,6261000,6533000,6714000,6819000,6859000,6856000
Lesotho,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276460,276659,276959,277361,277865,278472,279182,279997,280918,281945,283079,284320,285671,287130,288700,290381,292174,294080,296099,298233,300482,302748,305031,307332,309650,311985,314338,316708,319097,321503,323928,326371,328832,331312,333811,336328,338864,341420,343995,346589,349191,351813,354454,357116,359797,362498,365220,367962,370725,373508,376312,379138,381984,384852,387742,390653,393586,396541,399518,402518,405540,408584,411575,414665,417778,420915,424003,427186,430394,433625,436815,440095,443399,446669,450023,453401,456754,460183,463638,467119,470626,474160,477720,481306,484920,488561,492229,495924,499648,503399,507179,510938,514775,518639,522533,526456,530339,534321,538333,542374,546426,550528,554662,558826,563022,567249,571508,575824,580167,584542,588950,593392,597867,602376,606919,611496,616108,620754,625435,630152,634904,639693,644517,649378,654275,659209,664181,669189,674236,679321,684444,689606,694807,700046,705326,710645,716004,721404,726845,705000,717000,729000,741000,754000,767000,780000,794000,808000,822000,837000,853000,869000,886000,904000,922000,942000,962000,984000,1006000,1029000,1053000,1077000,1103000,1131000,1161000,1194000,1229000,1265000,1303000,1340000,1378000,1415000,1453000,1490000,1526000,1562000,1596000,1631000,1667000,1704000,1743000,1782000,1822000,1861000,1899000,1934000,1968000,1998000,2020000,2033000,2036000,2030000,2018000,2006000,1996000,1990000,1987000,1987000,1990000,1996000,2004000,2015000,2029000,2043000,2059000,2075000,2092000,2108000,2125000
Liberia,313543,313543,313543,313543,313543,313543,313543,313543,313543,313543,313666,313913,314285,314783,315409,316162,317045,318058,319202,320479,321890,323435,325116,326933,328889,330984,333219,335595,338114,340777,343585,346416,349271,352148,355050,357975,360925,363899,366897,369920,372968,376041,379140,382264,385414,388589,391791,395019,398274,401556,404975,408424,411902,415409,418947,422514,426112,429740,433400,437090,440812,444566,448351,452169,456019,459901,463817,467766,471749,475766,479817,483902,487912,492066,496256,500481,504640,508936,513269,517639,521952,526396,530877,535313,539870,544466,549027,553701,558414,563168,567962,572797,577673,582591,587550,592551,597595,602682,607812,612986,618204,623396,628702,634054,639450,644893,650280,655815,661397,667026,672673,678399,684173,689996,695868,701791,707763,713531,719410,725338,731315,737340,743416,749541,755717,761944,768222,774552,780934,787368,793856,800397,806992,813641,820345,827105,833920,840791,847719,854704,861746,868846,876005,883223,890501,897838,905236,912695,920215,930000,944000,959000,975000,993000,1011000,1031000,1052000,1073000,1096000,1119000,1142000,1167000,1192000,1218000,1245000,1273000,1303000,1334000,1367000,1401000,1437000,1475000,1514000,1556000,1600000,1646000,1692000,1741000,1794000,1853000,1919000,1989000,2057000,2112000,2146000,2158000,2153000,2134000,2106000,2076000,2040000,2002000,1977000,1986000,2045000,2160000,2326000,2517000,2700000,2848000,2954000,3025000,3077000,3136000,3218000,3329000,3462000,3608000,3754000,3891000,4017000,4136000,4248000,4360000,4472000,4587000,4702000,4819000,4937000
Libya,531797,532121,532446,532771,533097,533422,533748,534074,534400,534730,535169,535721,536387,537168,538064,539076,540204,541450,542813,544295,545896,547617,549458,551420,553505,555711,558041,560495,563073,565776,568606,571449,574307,577179,580065,582966,585882,588812,591756,594715,597690,600679,603682,606701,609735,612785,615849,618929,622024,625135,629132,633153,637199,641270,645365,649485,653630,657801,661997,666218,670465,674738,679037,683362,687713,692090,696495,700926,705384,709868,714381,718920,723427,728022,732644,737294,741917,746624,751359,756122,760864,765685,770536,775371,780280,785218,790148,795146,800175,805234,810323,815444,820595,825778,830991,836237,841514,846823,852163,857537,862942,868344,873815,879319,884856,890426,895978,901616,907287,912992,918717,924492,930301,936145,942024,947939,953889,958254,963046,967862,972703,977567,982456,987369,992307,997269,1002256,1007268,1012306,1017368,1022456,1027569,1032708,1037872,1043062,1048279,1053521,1058789,1064084,1069406,1074754,1080128,1085530,1090958,1096414,1101897,1107408,1112946,1118511,1125000,1143000,1164000,1188000,1215000,1245000,1279000,1317000,1358000,1402000,1448000,1498000,1551000,1607000,1668000,1733000,1804000,1879000,1959000,2044000,2134000,2228000,2327000,2431000,2537000,2645000,2755000,2866000,2979000,3097000,3219000,3348000,3480000,3615000,3747000,3874000,3995000,4110000,4220000,4329000,4437000,4544000,4651000,4755000,4855000,4949000,5036000,5118000,5197000,5276000,5358000,5443000,5531000,5621000,5710000,5799000,5887000,5975000,6059000,6134000,6198000,6247000,6286000,6320000,6362000,6418000,6492000,6581000,6679000,6777000
Liechtenstein,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5804,5808,5813,5821,5830,5841,5854,5869,5886,5905,5926,5949,5974,6001,6030,6061,6094,6129,6166,6205,6247,6288,6330,6372,6415,6458,6501,6544,6588,6632,6676,6720,6765,6810,6855,6901,6947,6993,7040,7087,7134,7181,7229,7277,7325,7373,7422,7472,7521,7571,7621,7672,7723,7774,7825,7877,7929,7982,8035,8088,8142,8196,8249,8303,8359,8414,8469,8525,8581,8638,8694,8752,8810,8868,8926,8985,9044,9104,9165,9225,9286,9348,9410,9472,9535,9598,9662,9726,9791,9855,9921,9986,10052,10119,10186,10253,10320,10389,10457,10527,10596,10667,10737,10808,10880,10952,11025,11098,11172,11247,11322,11397,11473,11550,11626,11704,11782,11860,11939,12019,12099,12180,12261,12343,12425,12508,12591,12675,12759,12844,12930,13016,13103,13190,13278,13366,13456,13545,13635,14000,14000,14000,14000,15000,15000,15000,15000,16000,16000,17000,17000,17000,18000,18000,19000,19000,20000,20000,21000,21000,22000,22000,23000,23000,23000,24000,24000,25000,25000,26000,26000,27000,27000,27000,27000,28000,28000,28000,28000,29000,29000,30000,30000,30000,31000,31000,32000,32000,33000,33000,34000,34000,34000,34000,35000,35000,35000,35000,36000,36000,36000,37000,37000,37000,37000,38000,38000,38000,38000
Lithuania,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778997,779684,780719,782105,783846,785945,788406,791230,794423,797987,801926,806243,810941,816025,821497,827362,833623,840283,847346,854817,862698,870652,878679,886780,894956,903208,911535,919939,928421,936981,945620,954338,963137,972017,980979,990023,999151,1008363,1017660,1027042,1036554,1046155,1055844,1065623,1075492,1085453,1095506,1105652,1115892,1126227,1136658,1147185,1157810,1168533,1179356,1190279,1201302,1212428,1223658,1234991,1246429,1257973,1269267,1281023,1292887,1304861,1316614,1328808,1341115,1353535,1365765,1378414,1391180,1403789,1416790,1429912,1442912,1456276,1469763,1483376,1497114,1510980,1524974,1539097,1553352,1567738,1582258,1596912,1611702,1626629,1641694,1656666,1672010,1687495,1703124,1718898,1734476,1750540,1766753,1783116,1799529,1816196,1833017,1849993,1867127,1884419,1901872,1919380,1937077,1954936,1972960,1991151,2009509,2028036,2046734,2065604,2084649,2103869,2123266,2142842,2162599,2182537,2202660,2222968,2243463,2264148,2285023,2306090,2327352,2348809,2370465,2392320,2414377,2436637,2459102,2481775,2504656,2527749,2551054,2567000,2570000,2578000,2591000,2609000,2629000,2652000,2677000,2705000,2736000,2770000,2807000,2846000,2887000,2927000,2966000,3003000,3037000,3071000,3104000,3137000,3170000,3204000,3237000,3269000,3299000,3327000,3354000,3380000,3405000,3431000,3456000,3481000,3507000,3533000,3562000,3594000,3627000,3658000,3683000,3696000,3697000,3688000,3671000,3649000,3627000,3604000,3580000,3555000,3529000,3502000,3474000,3445000,3414000,3381000,3344000,3303000,3259000,3213000,3167000,3124000,3083000,3046000,3009000,2971000,2932000,2890000,2845000,2801000,2760000
Luxembourg,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127069,127149,127268,127427,127628,127868,128150,128474,128838,129245,129694,130185,130719,131296,131916,132580,133288,134039,134836,135676,136562,137454,138351,139254,140163,141078,141999,142926,143859,144799,145744,146695,147653,148617,149587,150564,151547,152536,153532,154534,155545,156562,157586,158617,159655,160699,161750,162808,163873,164944,166023,167109,168202,169302,170410,171524,172646,173775,174912,176056,177207,178366,179508,180682,181863,183053,184227,185432,186644,187865,189073,190309,191554,192788,194049,195318,196579,197864,199158,200461,201772,203092,204420,205757,207103,208458,209821,211193,212575,213965,215364,216758,218175,219602,221039,222484,223917,225382,226856,228340,229827,231330,232843,234366,235899,237442,238995,240554,242124,243705,245296,246897,248509,250132,251765,253408,255063,256728,258404,260091,261789,263498,265218,266950,268692,270447,272212,273989,275778,277578,279391,281215,283050,284898,286758,288630,290515,292411,294320,296000,298000,300000,302000,303000,305000,307000,309000,310000,312000,315000,317000,321000,324000,327000,330000,332000,334000,336000,338000,340000,342000,345000,348000,351000,354000,357000,359000,361000,363000,364000,365000,365000,365000,366000,367000,369000,371000,374000,378000,382000,386000,391000,397000,402000,408000,414000,420000,426000,431000,436000,440000,444000,447000,452000,458000,466000,475000,485000,497000,508000,519000,531000,543000,555000,567000,579000,592000,604000,616000
Madagascar,1549842,1556580,1563347,1570144,1576970,1583826,1590712,1597628,1604574,1612106,1619315,1626756,1634432,1642346,1650499,1658895,1667535,1676423,1685560,1694950,1704594,1714496,1724658,1735082,1745772,1756729,1767957,1779459,1791236,1803292,1815630,1828052,1840559,1853151,1865830,1878595,1891448,1904389,1917418,1930536,1943744,1957043,1970432,1983913,1997487,2011153,2024912,2038766,2052715,2066759,2080753,2094841,2109025,2123306,2137682,2152156,2166729,2181399,2196169,2211039,2226010,2241082,2256256,2271533,2286914,2302398,2317987,2333682,2349483,2365391,2381407,2397531,2413391,2429731,2446183,2462745,2479074,2495860,2512759,2529772,2546585,2563828,2581187,2598382,2615975,2633687,2651272,2669224,2687296,2705491,2723810,2742252,2760819,2779512,2798331,2817278,2836353,2855557,2874891,2894356,2913953,2933455,2953317,2973313,2993444,3013712,3033788,3054329,3075008,3095828,3116693,3137795,3159039,3180428,3201962,3223641,3245467,3267748,3290105,3312615,3335279,3358098,3381073,3404205,3427496,3450946,3474556,3498328,3522262,3546360,3570623,3595052,3619649,3644413,3669347,3694451,3719728,3745177,3770800,3796599,3822574,3848727,3875059,3901570,3928264,3955140,3982199,4009444,4036876,4084000,4168000,4257000,4349000,4444000,4544000,4647000,4754000,4865000,4980000,5099000,5224000,5352000,5486000,5625000,5769000,5919000,6074000,6234000,6402000,6576000,6758000,6947000,7143000,7346000,7556000,7773000,7998000,8230000,8470000,8717000,8971000,9234000,9504000,9781000,10063000,10352000,10648000,10952000,11269000,11599000,11943000,12301000,12675000,13067000,13475000,13903000,14348000,14809000,15283000,15767000,16261000,16765000,17279000,17803000,18337000,18880000,19434000,19996000,20569000,21152000,21744000,22347000,22961000,23590000,24234000,24894000,25571000,26262000,26969000
Malawi,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737000,737467,737935,738402,738870,739337,739805,740272,740740,741207,741675,742142,742610,743077,743545,744012,744480,744947,745415,745882,746350,746817,747285,747752,748220,748687,749155,749622,750090,750557,751025,751492,751960,752427,752895,753362,753830,754297,754765,755232,755700,756167,756635,757102,757570,758037,758505,760894,765262,771667,780171,790834,797989,813646,832103,853443,877750,901162,926828,953225,979129,1005712,1030159,1053131,1076615,1100623,1125165,1150254,1174949,1200417,1226438,1250110,1271341,1290033,1309000,1328245,1360899,1407734,1469561,1534104,1601481,1657228,1700576,1730717,1761392,1792611,1824383,1856719,1889627,1923119,1957205,1991894,2027198,2063129,2099695,2174433,2290659,2451937,2624569,2809357,2954000,3012000,3072000,3136000,3202000,3271000,3342000,3417000,3495000,3576000,3660000,3748000,3839000,3934000,4032000,4134000,4240000,4350000,4464000,4582000,4704000,4829000,4959000,5093000,5235000,5385000,5546000,5718000,5897000,6075000,6250000,6412000,6566000,6738000,6965000,7268000,7666000,8141000,8637000,9076000,9404000,9600000,9686000,9710000,9746000,9844000,10023000,10265000,10552000,10854000,11149000,11432000,11714000,12000000,12302000,12626000,12974000,13342000,13728000,14128000,14540000,14962000,15396000,15839000,16290000,16745000,17205000,17670000,18143000,18629000
Malaysia,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287282,287853,288717,289882,291353,293137,295240,297669,300430,303530,306977,310778,314939,319468,324374,329663,335343,341424,347912,354816,362146,369626,377262,385055,393009,401127,409413,417871,426503,435313,444309,453494,462873,472449,482227,492212,502406,512815,523444,534296,545332,556599,568102,579847,591838,604080,616580,629341,642371,655673,669787,684744,700580,717333,735042,753749,773497,794328,816289,839427,863793,889437,910952,939272,969094,1000481,1028892,1063942,1100851,1139040,1174904,1215662,1257834,1297938,1342970,1389570,1434430,1484211,1535727,1589038,1644206,1701296,1760375,1821513,1884780,1948283,2011940,2075756,2139914,2204407,2269407,2335345,2400157,2465005,2529939,2596633,2661413,2733037,2805644,2875652,2946511,3009598,3068032,3128114,3189844,3253552,3318575,3385625,3454571,3525505,3600086,3677650,3758859,3842058,3927909,4015748,4105908,4198056,4292525,4389314,4484777,4578914,4671725,4766525,4864640,4966070,5071146,5178542,5289584,5404603,5495757,5560725,5598513,5636632,5675082,5714196,5785461,5889874,5997239,6110000,6271000,6450000,6639000,6837000,7039000,7246000,7458000,7678000,7910000,8156000,8418000,8692000,8974000,9254000,9527000,9790000,10046000,10298000,10549000,10804000,11062000,11324000,11593000,11871000,12162000,12469000,12790000,13123000,13460000,13798000,14134000,14471000,14819000,15192000,15599000,16044000,16522000,17022000,17529000,18030000,18520000,19003000,19485000,19978000,20488000,21018000,21563000,22115000,22661000,23194000,23709000,24208000,24699000,25191000,25691000,26202000,26720000,27236000,27735000,28208000,28651000,29068000,29469000,29867000,30271000,30685000,31105000,31528000,31950000
Maldives,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42390,42413,42449,42497,42556,42628,42712,42808,42917,43038,43171,43317,43476,43648,43832,44029,44239,44462,44698,44948,45210,45474,45740,46007,46276,46546,46818,47092,47367,47643,47922,48202,48483,48766,49051,49338,49626,49916,50207,50501,50742,50985,51228,51473,51719,51966,52214,52463,52714,52965,53218,53471,53726,53982,54240,54498,54757,55018,55280,55543,55807,56073,56333,56601,56870,57140,57406,57678,57952,58227,58499,58776,59055,59330,59612,59894,60174,60459,60745,61033,61322,61612,61904,62196,62491,62786,63083,63381,63680,63981,64283,64583,64888,65194,65501,65810,66115,66427,66740,66937,67174,67102,66838,66575,66312,66051,65791,65630,65446,65262,65403,65873,66675,67486,68307,69138,69980,70831,71693,72565,73212,73628,73811,73995,74179,74363,74548,74734,74920,75106,75293,75480,75668,75856,76045,75959,75599,74967,74340,74000,74000,75000,76000,78000,80000,82000,83000,85000,88000,90000,92000,95000,98000,100000,103000,105000,107000,110000,113000,116000,119000,123000,128000,132000,136000,141000,145000,149000,153000,158000,164000,170000,176000,183000,190000,196000,203000,210000,217000,223000,230000,236000,243000,249000,254000,259000,264000,268000,274000,279000,286000,294000,303000,311000,320000,327000,335000,343000,353000,366000,380000,397000,416000,435000,455000,476000,496000,516000,531000
Mali,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1404015,1405256,1407125,1409628,1412772,1416563,1421005,1426106,1431872,1438308,1445421,1453216,1461702,1470882,1480765,1491357,1502663,1514691,1527448,1540940,1555174,1569539,1584037,1598669,1613436,1628339,1643380,1658560,1673881,1689342,1704947,1720696,1736590,1752631,1768820,1785159,1801649,1818291,1835086,1852037,1869545,1887218,1905058,1923067,1941246,1959597,1978121,1996820,2015696,2034750,2053984,2073400,2092999,2112783,2132755,2152915,2173265,2193808,2214545,2235478,2256608,2277939,2298823,2320552,2342486,2364627,2386373,2408929,2431698,2454683,2477326,2500741,2524377,2547735,2571815,2596123,2620218,2644983,2669982,2695217,2720691,2746406,2772363,2798565,2825015,2851715,2878667,2905874,2933337,2961060,2989045,3016870,3045382,3074163,3103217,3132544,3161525,3191404,3221565,3252010,3282559,3313580,3344895,3376506,3408415,3440626,3473140,3504975,3537351,3570026,3603002,3636284,3669872,3703771,3737983,3772511,3807358,3842527,3878021,3913842,3949995,3986481,4023305,4060468,4097975,4135828,4174031,4212587,4251499,4290771,4330405,4370405,4410775,4451517,4492636,4534135,4576017,4618286,4660946,4708000,4759000,4811000,4865000,4920000,4975000,5032000,5090000,5147000,5205000,5264000,5322000,5381000,5442000,5504000,5568000,5636000,5706000,5781000,5861000,5949000,6045000,6147000,6256000,6368000,6482000,6597000,6712000,6831000,6956000,7090000,7235000,7389000,7545000,7695000,7832000,7953000,8062000,8172000,8297000,8450000,8636000,8850000,9087000,9335000,9586000,9838000,10094000,10361000,10643000,10946000,11272000,11617000,11983000,12369000,12776000,13203000,13651000,14114000,14581000,15049000,15515000,15979000,16450000,16934000,17439000,17965000,18512000,19078000,19658000
Malta,134072,134072,134072,134072,134072,134072,134072,134072,134072,134072,134114,134197,134323,134491,134702,134955,135253,135593,135978,136406,136879,137397,137959,138567,139221,139920,140666,141458,142297,143183,144116,145055,146001,146953,147910,148874,149845,150822,151805,152794,153790,154793,155802,156817,157839,158868,159904,160946,161995,163051,164117,165189,166269,167356,168450,169551,170659,171774,172897,174027,175165,176310,177462,178622,179790,180965,182148,183338,184536,185743,186957,188179,189382,190620,191866,193120,194358,195628,196907,198194,199467,200770,202083,203383,204713,206051,207380,208736,210100,211473,212855,214247,215647,217057,218475,219903,221341,222787,224244,225709,227185,228653,230148,231652,233166,234690,236201,237745,239299,240863,242431,244015,245610,247216,248831,250458,252095,253737,255390,257055,258731,260417,262115,263823,265543,267274,269016,270769,272534,274311,276099,277898,279710,281533,283368,285215,287074,288945,290829,292724,294632,296553,298486,300432,302390,304361,306345,308342,310351,312000,312000,313000,313000,314000,314000,313000,313000,312000,312000,313000,314000,317000,319000,321000,322000,323000,322000,322000,321000,321000,320000,320000,321000,321000,322000,324000,325000,327000,329000,331000,334000,337000,340000,343000,346000,349000,353000,356000,359000,362000,365000,368000,371000,374000,377000,380000,384000,387000,391000,394000,396000,399000,401000,403000,405000,406000,408000,409000,412000,414000,418000,422000,426000,430000,434000,436000,438000,439000,440000
Marshall Islands,5828,5828,5828,5828,5828,5828,5828,5828,5828,5828,5830,5833,5838,5845,5854,5864,5877,5891,5907,5924,5944,5965,5988,6013,6040,6069,6100,6132,6167,6203,6242,6280,6319,6358,6398,6437,6477,6517,6558,6598,6639,6680,6722,6763,6805,6847,6889,6932,6975,7018,7061,7105,7148,7192,7236,7281,7325,7370,7416,7461,7507,7553,7599,7646,7693,7740,7788,7836,7884,7932,7981,8030,8078,8128,8177,8228,8277,8328,8379,8431,8481,8533,8586,8638,8691,8744,8797,8851,8905,8960,9015,9070,9126,9182,9239,9295,9352,9410,9467,9526,9584,9642,9701,9761,9821,9881,9941,10002,10063,10125,10187,10250,10312,10376,10439,10504,10568,10634,10699,10766,10832,10899,10967,11035,11103,11172,11241,11311,11381,11451,11522,11593,11665,11737,11810,11883,11957,12031,12105,12180,12255,12331,12408,12484,12562,12639,12718,12796,12876,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,15000,15000,16000,16000,17000,17000,18000,18000,19000,20000,20000,21000,22000,23000,25000,26000,27000,27000,28000,29000,31000,32000,33000,35000,37000,38000,40000,42000,44000,46000,47000,48000,49000,50000,50000,50000,51000,50000,50000,50000,51000,51000,52000,53000,54000,55000,56000,56000,56000,56000,56000,57000,57000,57000,57000,57000,58000,58000,58000,59000
Mauritania,382696,382696,382696,382696,382696,382696,382696,382696,382696,382696,382772,382924,383153,383459,383842,384302,384841,385457,386152,386926,387779,388712,389725,390817,391991,393245,394580,395997,397495,399076,400739,402410,404087,405771,407462,409161,410866,412579,414298,416025,417759,419500,421249,423005,424768,426538,428316,430101,431894,433694,435494,437301,439116,440938,442768,444606,446451,448303,450164,452032,453908,455792,457683,459582,461490,463405,465328,467259,469198,471145,473100,475064,477008,478987,480975,482971,484950,486963,488984,491013,493028,495074,497128,499171,501243,503323,505394,507491,509597,511712,513836,515968,518109,520260,522419,524587,526764,528950,531145,533349,535562,537769,540001,542242,544492,546752,548999,551277,553565,555862,558162,560479,562804,565140,567485,569840,572205,574594,576988,579393,581808,584233,586668,589114,591569,594035,596511,598997,601494,604001,606518,609046,611585,614134,616694,619264,621845,624437,627040,629653,632278,634913,637559,640217,642885,645565,648256,650958,653671,651000,667000,683000,700000,719000,738000,759000,780000,803000,826000,850000,876000,902000,929000,957000,986000,1016000,1047000,1080000,1113000,1147000,1182000,1217000,1254000,1292000,1331000,1370000,1411000,1453000,1496000,1541000,1586000,1634000,1682000,1731000,1780000,1830000,1880000,1930000,1982000,2034000,2088000,2143000,2199000,2256000,2314000,2373000,2434000,2496000,2562000,2630000,2702000,2778000,2857000,2939000,3024000,3112000,3203000,3296000,3393000,3494000,3599000,3707000,3817000,3931000,4046000,4164000,4283000,4403000,4526000
Mauritius,64209,65581,66983,68415,69877,71371,72896,74455,76046,78310,79984,81694,83440,85224,87045,88906,90806,92747,94730,96755,98823,100935,103093,105297,107547,109846,112194,114592,117042,119544,122099,124709,127375,130097,132878,135718,138619,141583,144609,147700,151131,154924,159102,163690,168712,174198,180174,186671,193723,201362,209624,217784,225839,233786,241621,249342,256944,264425,271781,279009,286105,292879,299310,305372,311040,316286,321082,325397,329200,332456,335130,337087,338729,340793,342862,344936,347109,349314,351525,353741,356327,358330,360210,362368,363928,365252,366488,367390,368193,368896,369500,370005,370409,370712,370915,371017,370999,370963,370908,370836,370745,370685,370552,370396,370219,370019,369819,369620,369420,369400,369320,369717,370413,371110,371808,372508,373209,373911,374614,375319,376345,377693,379367,381048,382737,384433,386137,387849,389567,391294,393095,394970,396921,398882,400853,402833,404823,406823,408832,410852,412881,414921,416971,422191,430684,442556,454755,467290,480172,493000,506000,521000,537000,554000,571000,588000,605000,623000,641000,660000,679000,698000,717000,736000,753000,770000,785000,799000,813000,826000,840000,852000,865000,878000,892000,907000,922000,938000,953000,966000,978000,989000,999000,1008000,1016000,1023000,1030000,1037000,1046000,1056000,1068000,1083000,1099000,1114000,1129000,1142000,1154000,1165000,1176000,1185000,1194000,1202000,1209000,1216000,1222000,1228000,1234000,1239000,1244000,1248000,1251000,1253000,1255000,1257000,1259000,1262000,1264000,1267000,1270000
Mexico,6201367,6221089,6240873,6260721,6280631,6300605,6320642,6340743,6360908,6382317,6403201,6424742,6446944,6469813,6493353,6517571,6542470,6568057,6594337,6621314,6648995,6677385,6706488,6736310,6766858,6798136,6830149,6862904,6896406,6930661,6965674,7000864,7036231,7071777,7107503,7143410,7179497,7215767,7252221,7288858,7327228,7367353,7409257,7452963,7498496,7545880,7595138,7646296,7699378,7754411,7812763,7873137,7935559,8000057,8066659,8135392,8206284,8279365,8354663,8432207,8513283,8596382,8681519,8768760,8858122,8949668,9043415,9139378,9237621,9338207,9441102,9546417,9644135,9754642,9867828,9983706,10095438,10217976,10343519,10470582,10595130,10725315,10857087,10986725,11124265,11266186,11402652,11552016,11706464,11868745,12033553,12203727,12379454,12560735,12747759,12935578,13121078,13304074,13484657,13662641,13835183,14016181,14183061,14345848,14504203,14646345,14822285,14953485,15051192,15115186,15147472,15139946,15132418,15124886,15117350,15109811,15102268,15091297,15081182,15072753,15146591,15304045,15544777,15789218,16037368,16289227,16545132,16805420,17081554,17373872,17682374,17999304,18324664,18658790,18970664,19282536,19594072,19933592,20278508,20699960,21200642,21784604,22384412,23123468,23894890,24700028,25417506,26155888,27080992,27945000,28750000,29590000,30469000,31389000,32351000,33355000,34402000,35488000,36612000,37772000,38966000,40195000,41462000,42771000,44124000,45520000,46956000,48432000,49945000,51494000,53076000,54690000,56324000,57967000,59608000,61242000,62870000,64495000,66124000,67761000,69408000,71059000,72709000,74353000,75983000,77599000,79200000,80789000,82369000,83943000,85513000,87075000,88625000,90156000,91663000,93147000,94611000,96056000,97485000,98900000,100298000,101685000,103081000,104515000,106005000,107560000,109171000,110815000,112464000,114093000,115695000,117274000,118827000,120355000,121858000,123333000,124777000,126191000,127576000
